date,Cases in Residents/Healthcare Workers of LTCFs,facilities,Deaths Reported in LTCFs
6/1/2020,21413,349,4349
6/2/2020,21608,350,4382
6/3/2020,21785,350,4447
6/4/2020,21892,350,4479
6/5/2020,21949,350,4504
6/6/2020,22058,351,4537
6/7/2020,22191,351,4574
6/8/2020,22295,361,4597
6/9/2020,22479,363,4630
6/10/2020,22526,364,4671
6/11/2020,22561,365,4705
6/12/2020,22659,366,4736
6/13/2020,22706,366,4768
6/14/2020,22711,366,4803
6/15/2020,22795,366,4817
6/16/2020,22839,367,4834
6/17/2020,22932,368,4875
6/18/2020,23013,369,4899
6/19/2020,23052,369,4920
6/20/2020,23071,369,4929
6/21/2020,23089,369,4944
6/22/2020,23104,369,4956
6/23/2020,23237,369,4970
6/24/2020,23297,369,5007
6/25/2020,23321,369,5023
6/26/2020,23362,369,5051
6/27/2020,23389,369,5073
6/28/2020,23399,369,5086
6/29/2020,23409,369,5111
6/30/2020,23453,369,5106
7/1/2020,23458,369,5127
7/2/2020,23497,369,5141
7/3/2020,23532,369,5152
7/4/2020,23544,369,5168
7/5/2020,23554,369,5173
7/6/2020,23555,369,5184
7/7/2020,23595,369,5193
7/8/2020,23612,369,5220
7/9/2020,23630,369,5241
7/10/2020,23648,369,5258
7/11/2020,23667,369,5268
7/12/2020,23674,369,5274
7/13/2020,23686,369,5277
7/14/2020,23733,368,5282
7/15/2020,23759,368,5303
7/16/2020,23760,368,5312
7/17/2020,23793,368,5328
7/18/2020,23832,368,5349
7/19/2020,23841,368,5361
7/20/2020,23844,368,5361
7/21/2020,23872,369,5374
7/22/2020,23900,369,5387
7/23/2020,23956,369,5398
7/24/2020,24014,370,5411
7/25/2020,24046,371,5421
7/26/2020,24055,371,5433
7/27/2020,24059,371,5437
7/28/2020,24099,373,5447
7/29/2020,24124,373,5468
7/30/2020,24144,376,5477
7/31/2020,24184,376,5486
