Date,Race/Ethnicity,All Cases,Ever Hospitaltized,Deaths
6/1/2020,Non-Hispanic White,26162,3813,2904
6/1/2020,Non-Hispanic Black/African American,8853,987,348
6/1/2020,Hispanic,18331,1290,445
6/1/2020,Non-Hispanic Asian,1875,291,128
6/1/2020,Non-Hispanic Other,4549,571,227
6/1/2020,Unknown/Missing,41035,3000,2983
6/2/2020,Non-Hispanic White,26390,3859,2947
6/2/2020,Non-Hispanic Black/African American,8904,993,349
6/2/2020,Hispanic,18470,1301,451
6/2/2020,Non-Hispanic Asian,1892,296,129
6/2/2020,Non-Hispanic Other,4574,581,228
6/2/2020,Unknown/Missing,40933,3033,2981
6/3/2020,Non-Hispanic White,26941,3897,2992
6/3/2020,Non-Hispanic Black/African American,9209,1013,354
6/3/2020,Hispanic,18691,1313,463
6/3/2020,Non-Hispanic Asian,1931,300,130
6/3/2020,Non-Hispanic Other,4644,595,230
6/3/2020,Unknown/Missing,40176,3033,2983
6/4/2020,Non-Hispanic White,27098,3954,3028
6/4/2020,Non-Hispanic Black/African American,9257,1023,356
6/4/2020,Hispanic,18811,1325,464
6/4/2020,Non-Hispanic Asian,1951,301,130
6/4/2020,Non-Hispanic Other,4708,604,232
6/4/2020,Unknown/Missing,40238,3031,2991
6/5/2020,Non-Hispanic White,27320,3986,3046
6/5/2020,Non-Hispanic Black/African American,9288,1033,358
6/5/2020,Hispanic,19010,1335,465
6/5/2020,Non-Hispanic Asian,1970,304,131
6/5/2020,Non-Hispanic Other,4746,611,237
6/5/2020,Unknown/Missing,40223,3034,2998
6/6/2020,Non-Hispanic White,27515,4014,3074
6/6/2020,Non-Hispanic Black/African American,9330,1039,361
6/6/2020,Hispanic,19145,1359,484
6/6/2020,Non-Hispanic Asian,1987,303,131
6/6/2020,Non-Hispanic Other,4795,614,238
6/6/2020,Unknown/Missing,40360,3040,3001
6/7/2020,Non-Hispanic White,29877,4936,5370
6/7/2020,Non-Hispanic Black/African American,9600,1204,606
6/7/2020,Hispanic,19268,1369,491
6/7/2020,Non-Hispanic Asian,2056,331,189
6/7/2020,Non-Hispanic Other,5083,798,504
6/7/2020,Unknown/Missing,37552,1755,156
6/8/2020,Non-Hispanic White,30009,4952,5392
6/8/2020,Non-Hispanic Black/African American,9617,1208,611
6/8/2020,Hispanic,19324,1374,496
6/8/2020,Non-Hispanic Asian,2065,333,190
6/8/2020,Non-Hispanic Other,5096,799,505
6/8/2020,Unknown/Missing,37515,1759,159
6/9/2020,Non-Hispanic White,30199,4999,5433
6/9/2020,Non-Hispanic Black/African American,9652,1216,617
6/9/2020,Hispanic,19436,1386,499
6/9/2020,Non-Hispanic Asian,2076,335,191
6/9/2020,Non-Hispanic Other,5133,807,509
6/9/2020,Unknown/Missing,37393,1764,159
6/10/2020,Non-Hispanic White,30422,5043,5467
6/10/2020,Non-Hispanic Black/African American,9729,1224,620
6/10/2020,Hispanic,19596,1400,501
6/10/2020,Non-Hispanic Asian,2092,335,192
6/10/2020,Non-Hispanic Other,5179,818,511
6/10/2020,Unknown/Missing,37138,1762,163
6/11/2020,Non-Hispanic White,30593,5088,5500
6/11/2020,Non-Hispanic Black/African American,9765,1238,625
6/11/2020,Hispanic,19712,1413,509
6/11/2020,Non-Hispanic Asian,2107,338,194
6/11/2020,Non-Hispanic Other,5232,825,510
6/11/2020,Unknown/Missing,37258,1752,154
6/12/2020,Non-Hispanic White,30752,5120,5534
6/12/2020,Non-Hispanic Black/African American,9805,1244,625
6/12/2020,Hispanic,19829,1424,514
6/12/2020,Non-Hispanic Asian,2124,339,194
6/12/2020,Non-Hispanic Other,5269,837,514
6/12/2020,Unknown/Missing,37280,1762,157
6/13/2020,Non-Hispanic White,30894,5144,5557
6/13/2020,Non-Hispanic Black/African American,9839,1250,627
6/13/2020,Hispanic,19936,1434,516
6/13/2020,Non-Hispanic Asian,2131,341,195
6/13/2020,Non-Hispanic Other,5295,841,519
6/13/2020,Unknown/Missing,37300,1762,162
6/14/2020,Non-Hispanic White,31004,5167,5597
6/14/2020,Non-Hispanic Black/African American,9859,1252,630
6/14/2020,Hispanic,20017,1440,523
6/14/2020,Non-Hispanic Asian,2150,346,202
6/14/2020,Non-Hispanic Other,5308,842,520
6/14/2020,Unknown/Missing,37265,1755,152
6/15/2020,Non-Hispanic White,31071,5179,5610
6/15/2020,Non-Hispanic Black/African American,9873,1255,630
6/15/2020,Hispanic,20064,1442,525
6/15/2020,Non-Hispanic Asian,2152,346,203
6/15/2020,Non-Hispanic Other,5322,843,523
6/15/2020,Unknown/Missing,37208,1752,156
6/16/2020,Non-Hispanic White,31180,5208,5624
6/16/2020,Non-Hispanic Black/African American,9906,1262,630
6/16/2020,Hispanic,20161,1446,525
6/16/2020,Non-Hispanic Asian,2161,348,204
6/16/2020,Non-Hispanic Other,5341,844,521
6/16/2020,Unknown/Missing,37136,1759,161
6/17/2020,Non-Hispanic White,31324,5246,5681
6/17/2020,Non-Hispanic Black/African American,9936,1265,634
6/17/2020,Hispanic,20255,1452,528
6/17/2020,Non-Hispanic Asian,2179,351,206
6/17/2020,Non-Hispanic Other,5382,851,521
6/17/2020,Unknown/Missing,37075,1760,164
6/18/2020,Non-Hispanic White,31465,5288,5722
6/18/2020,Non-Hispanic Black/African American,9962,1275,636
6/18/2020,Hispanic,20319,1457,532
6/18/2020,Non-Hispanic Asian,2189,353,206
6/18/2020,Non-Hispanic Other,5402,857,523
6/18/2020,Unknown/Missing,37085,1755,151
6/19/2020,Non-Hispanic White,31570,5312,5745
6/19/2020,Non-Hispanic Black/African American,9983,1278,638
6/19/2020,Hispanic,20404,1468,535
6/19/2020,Non-Hispanic Asian,2197,353,205
6/19/2020,Non-Hispanic Other,5417,862,525
6/19/2020,Unknown/Missing,37079,1763,152
6/20/2020,Non-Hispanic White,31708,5336,5771
6/20/2020,Non-Hispanic Black/African American,9998,1281,639
6/20/2020,Hispanic,20483,1479,539
6/20/2020,Non-Hispanic Asian,2205,355,206
6/20/2020,Non-Hispanic Other,5444,863,527
6/20/2020,Unknown/Missing,37098,1762,146
6/21/2020,Non-Hispanic White,31770,5342,5794
6/21/2020,Non-Hispanic Black/African American,10009,1281,641
6/21/2020,Hispanic,20522,1481,540
6/21/2020,Non-Hispanic Asian,2206,355,207
6/21/2020,Non-Hispanic Other,5454,866,527
6/21/2020,Unknown/Missing,37100,1760,149
6/22/2020,Non-Hispanic White,31851,5351,5810
6/22/2020,Non-Hispanic Black/African American,10020,1281,641
6/22/2020,Hispanic,20562,1481,540
6/22/2020,Non-Hispanic Asian,2207,355,207
6/22/2020,Non-Hispanic Other,5469,867,527
6/22/2020,Unknown/Missing,37101,1759,149
6/23/2020,Non-Hispanic White,32017,5392,5855
6/23/2020,Non-Hispanic Black/African American,10049,1292,646
6/23/2020,Hispanic,20651,1491,543
6/23/2020,Non-Hispanic Asian,2210,361,210
6/23/2020,Non-Hispanic Other,5480,872,529
6/23/2020,Unknown/Missing,37032,1749,107
6/24/2020,Non-Hispanic White,32153,5424,5881
6/24/2020,Non-Hispanic Black/African American,10080,1311,653
6/24/2020,Hispanic,20722,1503,550
6/24/2020,Non-Hispanic Asian,2226,364,210
6/24/2020,Non-Hispanic Other,5507,880,532
6/24/2020,Unknown/Missing,36923,1737,112
6/25/2020,Non-Hispanic White,32259,5444,5912
6/25/2020,Non-Hispanic Black/African American,10105,1316,655
6/25/2020,Hispanic,20797,1517,555
6/25/2020,Non-Hispanic Asian,2231,364,211
6/25/2020,Non-Hispanic Other,5516,889,536
6/25/2020,Unknown/Missing,36929,1722,94
6/26/2020,Non-Hispanic White,32384,5466,5945
6/26/2020,Non-Hispanic Black/African American,10125,1325,658
6/26/2020,Hispanic,20845,1520,555
6/26/2020,Non-Hispanic Asian,2237,364,214
6/26/2020,Non-Hispanic Other,5537,891,540
6/26/2020,Unknown/Missing,36942,1725,101
6/27/2020,Non-Hispanic White,32531,5483,5971
6/27/2020,Non-Hispanic Black/African American,10150,1329,664
6/27/2020,Hispanic,20907,1527,563
6/27/2020,Non-Hispanic Asian,2244,365,214
6/27/2020,Non-Hispanic Other,5556,887,536
6/27/2020,Unknown/Missing,37055,1719,93
6/28/2020,Non-Hispanic White,32609,5485,5981
6/28/2020,Non-Hispanic Black/African American,10162,1332,665
6/28/2020,Hispanic,20962,1531,566
6/28/2020,Non-Hispanic Asian,2251,366,214
6/28/2020,Non-Hispanic Other,5571,888,539
6/28/2020,Unknown/Missing,37112,1717,95
6/29/2020,Non-Hispanic White,32700,5506,6009
6/29/2020,Non-Hispanic Black/African American,10190,1335,666
6/29/2020,Hispanic,21020,1536,566
6/29/2020,Non-Hispanic Asian,2258,366,215
6/29/2020,Non-Hispanic Other,5580,888,542
6/29/2020,Unknown/Missing,37020,1714,97
6/30/2020,Non-Hispanic White,32769,5502,5989
6/30/2020,Non-Hispanic Black/African American,10209,1336,663
6/30/2020,Hispanic,21079,1536,562
6/30/2020,Non-Hispanic Asian,2260,365,214
6/30/2020,Non-Hispanic Other,5588,886,537
6/30/2020,Unknown/Missing,36977,1712,89
7/1/2020,Non-Hispanic White,32951,5520,6019
7/1/2020,Non-Hispanic Black/African American,10242,1337,664
7/1/2020,Hispanic,21133,1538,560
7/1/2020,Non-Hispanic Asian,2270,365,213
7/1/2020,Non-Hispanic Other,5606,883,537
7/1/2020,Unknown/Missing,36941,1709,88
7/2/2020,Non-Hispanic White,33120,5541,6072
7/2/2020,Non-Hispanic Black/African American,10283,1341,665
7/2/2020,Hispanic,21198,1550,563
7/2/2020,Non-Hispanic Asian,2277,365,213
7/2/2020,Non-Hispanic Other,5621,884,532
7/2/2020,Unknown/Missing,36839,1711,87
7/3/2020,Non-Hispanic White,33219,5568,6084
7/3/2020,Non-Hispanic Black/African American,10324,1342,665
7/3/2020,Hispanic,21279,1555,565
7/3/2020,Non-Hispanic Asian,2283,366,213
7/3/2020,Non-Hispanic Other,5635,888,534
7/3/2020,Unknown/Missing,36888,1717,88
7/4/2020,Non-Hispanic White,33316,5598,6126
7/4/2020,Non-Hispanic Black/African American,10346,1346,667
7/4/2020,Hispanic,21322,1557,569
