Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1964,938,61,,2,0,0,971,14
3/14/2020,2863,899,73,,2,0,0,920,15
3/15/2020,3892,1029,68,,2,0,0,1057,27
3/16/2020,6035,2143,150,,2,0,0,2217,18
3/17/2020,8713,2678,249,,2,0,0,2762,28
3/18/2020,11691,2978,259,,2,0,0,3069,157
3/19/2020,14591,2900,278,,2,0,0,2996,142
3/20/2020,18232,3641,388,,2,0,0,3752,124
3/21/2020,20763,2531,321,,2,0,0,2603,168
3/22/2020,22658,1895,286,,2,0,0,1944,158
3/23/2020,26441,3783,609,,2,0,0,3895,202
3/24/2020,30431,3990,718,,2,0,0,4114,207
3/25/2020,34529,4098,746,,2,0,0,4215,269
3/26/2020,38945,4416,936,,2,0,0,4538,299
3/27/2020,43308,4363,943,,2,0,0,4473,342
3/28/2020,46107,2799,654,,2,0,0,2870,332
3/29/2020,48176,2069,523,,2,0,0,2155,318
3/30/2020,53225,5049,1238,,2,0,0,5167,416
3/31/2020,58461,5236,1266,,2,0,0,5459,472
4/1/2020,63382,4921,1337,,2,0,0,5113,463
4/2/2020,68594,5212,1278,,5,3,1,5407,597
4/3/2020,74320,5726,1480,,5,0,0,5939,629
4/4/2020,78299,3979,1163,,9,4,1,4058,690
4/5/2020,81712,3413,977,,9,0,0,3571,539
4/6/2020,88364,6652,1932,,13,4,0,6831,783
4/7/2020,94911,6547,2022,,17,4,0,6667,966
4/8/2020,101700,6789,1863,,19,2,0,6991,975
4/9/2020,108122,6422,1978,,41,22,2,6758,1038
4/10/2020,115691,7569,2054,,42,1,1,7794,1058
4/11/2020,120047,4356,1297,,43,1,0,4500,806
4/12/2020,123070,3023,929,,46,3,2,3095,707
4/13/2020,129326,6256,2002,,54,8,0,6352,1130
4/14/2020,139059,9733,2870,,62,8,2,9858,1487
4/15/2020,148954,9895,2599,,72,10,2,10194,1459
4/16/2020,157850,8896,2389,,93,21,0,8990,1716
4/17/2020,168922,11072,3006,,173,80,5,11445,1764
4/18/2020,174934,6012,1481,,181,8,3,6342,1138
4/19/2020,179517,4583,1090,,191,10,1,4663,933
4/20/2020,190269,10752,2694,,255,64,6,11061,1910
4/21/2020,199716,9447,2194,,331,76,11,9708,2117
4/22/2020,212174,12458,2716,,478,147,17,12751,2648
4/23/2020,222944,10770,2407,,951,473,31,10879,2547
4/24/2020,235293,12349,2283,,1849,898,82,12394,2510
4/25/2020,243515,8222,1496,,2336,487,25,8430,1836
4/26/2020,248396,4881,847,,2791,455,36,4797,1410
4/27/2020,259348,10952,2130,,3933,1142,79,10857,2939
4/28/2020,271597,12249,2107,,5355,1422,83,12278,2997
4/29/2020,284210,12613,2190,,7064,1709,105,12589,2929
4/30/2020,297945,13735,2048,,8442,1378,116,13740,3137
5/1/2020,312023,14078,2084,,10219,1777,130,14003,3289
5/2/2020,319269,7246,1031,,10813,594,57,7321,1876
5/3/2020,324355,5086,735,,11217,404,42,5038,1423
5/4/2020,336421,12066,1881,,13237,2020,162,11923,3521
5/5/2020,349035,12614,1738,,15214,1977,157,12448,3568
5/6/2020,362323,13288,1700,,17194,1980,184,13077,3608
5/7/2020,375784,13461,1683,,19261,2067,173,13434,3659
5/8/2020,389072,13288,1460,,21146,1885,136,13238,3705
5/9/2020,394895,5823,684,,21774,628,38,5714,1974
5/10/2020,398054,3159,386,,22128,354,77,3082,1476
5/11/2020,409873,11819,1311,,23971,1843,162,11625,4016
