Date,DeathsConfTotal,DeathsConfNew,DeathsProbTotal,DeathsProbNew
6/1/2020,6894,48,,
6/2/2020,6944,50,,
6/3/2020,7012,68,,
6/4/2020,7062,50,,
6/5/2020,7097,35,,
6/6/2020,7152,55,,
6/7/2020,7179,27,,
6/8/2020,7217,38,,
6/9/2020,7255,38,,
6/10/2020,7300,45,,
6/11/2020,7337,37,,
6/12/2020,7382,45,,
6/13/2020,7420,38,,
6/14/2020,7467,47,,
6/15/2020,7490,23,,
6/16/2020,7508,18,,
6/17/2020,7568,60,,
6/18/2020,7591,23,,
6/19/2020,7619,28,,
6/20/2020,7647,28,,
6/21/2020,7677,30,,
6/22/2020,7694,17,,
6/23/2020,7710,16,,
6/24/2020,7752,42,,
6/25/2020,7776,24,,
6/26/2020,7815,39,,
6/27/2020,7841,26,,
6/28/2020,7860,19,,
6/29/2020,7895,35,,
6/30/2020,7874,0,,
7/1/2020,7902,28,,
7/2/2020,7918,16,,
7/3/2020,7935,17,,
7/4/2020,7958,23,,
7/5/2020,7968,10,,
7/6/2020,7983,15,,
7/7/2020,7998,15,,
7/8/2020,8028,30,,
7/9/2020,8053,25,,
7/10/2020,8081,28,,
7/11/2020,8095,14,,
7/12/2020,8110,15,,
7/13/2020,8115,5,,
7/14/2020,8125,10,,
7/15/2020,8152,27,,
7/16/2020,8163,11,,
7/17/2020,8184,21,,
7/18/2020,8201,17,,
7/19/2020,8213,12,,
7/20/2020,8214,1,,
7/21/2020,8231,17,,
7/22/2020,8249,18,,
7/23/2020,8265,16,,
7/24/2020,8279,14,,
7/25/2020,8291,12,,
7/26/2020,8310,19,,
7/27/2020,8317,7,,
7/28/2020,8331,14,,
7/29/2020,8360,29,,
7/30/2020,8375,15,,
7/31/2020,8389,14,,
8/1/2020,8406,17,,
8/2/2020,8417,11,,
8/3/2020,8427,10,,
8/4/2020,8436,9,,
8/5/2020,8438,2,,
8/6/2020,8470,32,,
8/7/2020,8488,18,,
8/8/2020,8500,12,,
8/9/2020,8514,14,,
8/10/2020,8519,5,,
8/11/2020,8529,10,,
8/12/2020,8547,18,,
8/13/2020,8568,21,,
8/14/2020,8582,14,,
8/15/2020,8596,14,,
8/16/2020,8607,11,,
8/17/2020,8611,4,,
8/18/2020,8617,6,,
8/19/2020,8645,28,,
8/20/2020,8657,12,,
8/21/2020,8670,13,,
8/22/2020,8690,20,,
8/24/2020,8717,27,,
8/25/2020,8729,12,,
8/26/2020,8755,26,,
8/27/2020,8775,20,,
8/28/2020,8791,16,,
8/29/2020,8803,12,,
8/30/2020,8816,13,,
8/31/2020,8827,11,,
9/1/2020,8831,4,,
9/2/2020,8853,22,207,0
9/3/2020,8870,17,207,0
9/4/2020,8892,22,208,1
9/5/2020,8907,15,209,1
9/6/2020,8917,10,208,0
9/7/2020,8925,8,208,0
9/8/2020,8933,8,208,0
9/9/2020,8937,4,209,1
9/10/2020,8957,20,209,0
9/11/2020,8971,14,209,0
9/12/2020,8987,16,209,0
9/13/2020,9001,14,209,0
9/14/2020,9010,9,209,0
9/15/2020,9016,6,209,0
9/16/2020,9036,20,209,0
9/17/2020,9051,15,209,0
9/18/2020,9059,8,210,1
9/19/2020,9085,26,210,0
9/20/2020,9100,15,210,0
9/21/2020,9107,7,210,0
9/22/2020,9118,11,210,0
9/23/2020,9135,17,212,2
9/24/2020,9150,15,212,0
9/25/2020,9160,10,213,1
9/26/2020,9178,18,213,0
9/27/2020,9191,13,213,0
9/28/2020,9202,11,213,0
9/29/2020,9210,8,213,0
9/30/2020,9242,32,214,1
10/1/2020,9265,23,215,1
10/2/2020,9275,10,215,0
10/3/2020,9292,17,215,0
10/4/2020,9295,3,215,0
10/5/2020,9315,20,215,0
10/6/2020,9323,8,215,0
10/7/2020,9342,19,215,0
10/8/2020,9350,8,215,0
10/9/2020,9362,12,215,0
10/10/2020,9372,10,215,0
10/11/2020,9388,16,216,1
10/12/2020,9401,13,216,0
10/13/2020,9413,12,217,1
10/14/2020,9429,16,218,1
10/15/2020,9452,23,220,2
10/16/2020,9482,30,220,0
10/17/2020,9503,21,220,0
10/18/2020,9517,14,220,0
10/19/2020,9532,15,221,1
10/20/2020,9537,5,221,0
10/21/2020,9559,22,221,0
10/22/2020,9589,30,221,0
10/23/2020,9608,19,222,1
10/24/2020,9616,8,223,1
10/25/2020,9640,24,224,1
10/26/2020,9657,17,224,0
10/27/2020,9664,7,224,0
10/28/2020,9700,36,224,0
10/29/2020,9727,27,224,0
10/30/2020,9750,23,225,1
10/31/2020,9766,16,225,0
11/1/2020,9788,22,225,0
11/2/2020,9797,9,226,1
11/3/2020,9809,12,226,0
11/4/2020,9836,27,226,0
11/5/2020,9859,23,226,0
11/6/2020,9880,21,226,0
11/7/2020,9903,23,226,0
11/8/2020,9923,20,226,0
11/9/2020,9936,13,227,1
11/10/2020,9957,21,227,0
11/11/2020,9994,37,228,1
11/12/2020,10015,21,227,0
11/13/2020,10038,23,227,0
11/14/2020,10065,27,228,1
11/15/2020,10098,33,231,3
11/16/2020,10110,12,230,0
11/17/2020,10130,20,230,0
11/18/2020,10177,47,230,0
11/19/2020,10204,27,231,1
11/20/2020,10238,34,231,0
11/21/2020,10257,19,231,0
11/22/2020,10281,24,231,0
11/23/2020,10299,18,232,1
11/24/2020,10319,20,232,0
11/25/2020,10372,53,232,0
11/27/2020,10401,29,234,2
11/28/2020,10441,40,235,1
11/29/2020,10487,46,235,0
11/30/2020,10512,25,236,1
12/1/2020,10542,30,236,0
12/2/2020,10588,46,236,0
