date,Cases in Residents/Healthcare Workers of LTCFs,facilities,Deaths Reported in LTCFs
6/1/2020,21413,349,4349
6/2/2020,21608,350,4382
6/3/2020,21785,350,4447
6/4/2020,21892,350,4479
6/5/2020,21949,350,4504
6/6/2020,22058,351,4537
6/7/2020,22191,351,4574
6/8/2020,22295,361,4597
6/9/2020,22479,363,4630
6/10/2020,22526,364,4671
6/11/2020,22561,365,4705
6/12/2020,22659,366,4736
6/13/2020,22706,366,4768
6/14/2020,22711,366,4803
6/15/2020,22795,366,4817
6/16/2020,22839,367,4834
6/17/2020,22932,368,4875
6/18/2020,23013,369,4899
6/19/2020,23052,369,4920
6/20/2020,23071,369,4929
6/21/2020,23089,369,4944
6/22/2020,23104,369,4956
6/23/2020,23237,369,4970
6/24/2020,23297,369,5007
6/25/2020,23321,369,5023
6/26/2020,23362,369,5051
6/27/2020,23389,369,5073
6/28/2020,23399,369,5086
6/29/2020,23409,369,5111
6/30/2020,23453,369,5106
7/1/2020,23458,369,5127
7/2/2020,23497,369,5141
7/3/2020,23532,369,5152
7/4/2020,23544,369,5168
7/5/2020,23554,369,5173
7/6/2020,23555,369,5184
7/7/2020,23595,369,5193
7/8/2020,23612,369,5220
7/9/2020,23630,369,5241
7/10/2020,23648,369,5258
7/11/2020,23667,369,5268
7/12/2020,23674,369,5274
7/13/2020,23686,369,5277
7/14/2020,23733,368,5282
7/15/2020,23759,368,5303
7/16/2020,23760,368,5312
7/17/2020,23793,368,5328
7/18/2020,23832,368,5349
7/19/2020,23841,368,5361
7/20/2020,23844,368,5361
7/21/2020,23872,369,5374
7/22/2020,23900,369,5387
7/23/2020,23956,369,5398
7/24/2020,24014,370,5411
7/25/2020,24046,371,5421
7/26/2020,24055,371,5433
7/27/2020,24059,371,5437
7/28/2020,24099,373,5447
7/29/2020,24124,373,5468
7/30/2020,24144,376,5477
7/31/2020,24184,376,5486
8/1/2020,24224,376,5497
8/2/2020,24239,376,5504
8/3/2020,24244,376,5508
8/4/2020,24376,376,5512
8/5/2020,24434,376,5515
8/6/2020,24450,376,5541
8/7/2020,24467,376,5551
8/8/2020,24495,376,5561
8/9/2020,24510,376,5575
8/10/2020,24517,376,5579
8/11/2020,24538,376,5585
8/12/2020,24542,377,5602
8/13/2020,24552,377,5621
8/14/2020,24478,378,5634
8/15/2020,24505,379,5645
8/16/2020,24507,379,5653
8/17/2020,24512,379,5658
8/18/2020,24522,379,5662
8/19/2020,24535,379,5684
8/20/2020,24551,379,5693
8/21/2020,24551,379,5701
8/22/2020,24555,379,5714
8/24/2020,24567,379,5728
8/25/2020,24574,379,5735
8/26/2020,24577,379,5755
8/27/2020,24584,379,5772
8/28/2020,24597,379,5781
8/29/2020,24597,379,5790
8/30/2020,24605,379,5796
8/31/2020,24606,379,5802
9/1/2020,24617,379,5803
9/2/2020,24632,380,5815
9/3/2020,24635,380,5824
9/4/2020,24646,381,5838
9/5/2020,24653,381,5847
9/6/2020,24653,381,5854
9/7/2020,24657,381,5858
9/8/2020,24658,381,5862
9/9/2020,24671,381,5864
9/10/2020,24680,381,5878
9/11/2020,24700,382,5885
9/12/2020,24705,382,5897
9/13/2020,24706,382,5906
9/14/2020,24716,383,5909
9/15/2020,24732,382,5915
9/16/2020,24740,382,5928
9/17/2020,24755,382,5941
9/18/2020,24764,382,5946
9/19/2020,24775,382,5964
9/20/2020,24777,382,5977
9/21/2020,24777,382,5980
9/22/2020,24789,382,5989
9/23/2020,24802,383,6000
9/24/2020,24811,383,6011
9/25/2020,24828,383,6019
9/26/2020,24839,383,6032
9/27/2020,24841,383,6040
9/28/2020,24869,383,6045
9/29/2020,24874,384,6050
9/30/2020,24893,384,6073
10/1/2020,24921,384,6086
10/2/2020,24936,385,6092
10/3/2020,24951,385,6104
10/4/2020,24953,385,6104
10/5/2020,25104,386,6147
10/6/2020,25128,387,6150
10/7/2020,25139,387,6160
10/8/2020,25155,387,6168
10/9/2020,25178,387,6173
10/10/2020,25192,388,6177
10/11/2020,25198,388,6189
10/12/2020,25202,388,6205
10/13/2020,25214,388,6209
10/14/2020,25224,389,6219
10/15/2020,25246,389,6236
10/16/2020,25266,389,6254
10/17/2020,25284,390,6268
10/18/2020,25294,390,6278
10/19/2020,25301,390,6288
10/20/2020,25301,390,6293
10/21/2020,25374,390,6306
10/22/2020,25428,390,6314
10/23/2020,25452,390,6323
10/24/2020,25476,391,6327
10/25/2020,25485,391,6341
10/26/2020,25486,391,6347
10/27/2020,25555,391,6351
10/28/2020,25590,391,6373
10/29/2020,25626,391,6390
10/30/2020,25679,391,6404
10/31/2020,25711,391,6412
11/1/2020,25714,391,6426
11/2/2020,25717,391,6432
11/3/2020,25740,391,6436
11/4/2020,25773,391,6451
11/5/2020,25838,391,6464
11/6/2020,25899,391,6469
11/7/2020,25941,391,6483
11/8/2020,25951,391,6492
11/9/2020,25985,393,6494
11/10/2020,26039,393,6501
11/11/2020,26074,392,6523
11/12/2020,26143,392,6538
11/13/2020,26203,394,6555
11/14/2020,26245,394,6571
11/15/2020,26268,394,6594
11/16/2020,26298,395,6600
11/17/2020,26486,396,6610
11/18/2020,26579,397,6629
11/19/2020,26691,398,6645
11/20/2020,26752,398,6659
11/21/2020,26786,398,6666
11/22/2020,26799,398,6675
11/23/2020,26872,398,6685
11/24/2020,26991,400,6697
11/25/2020,27053,400,6727
11/27/2020,27167,401,6742
11/28/2020,27246,401,6755
11/29/2020,27285,401,6777
11/30/2020,27323,401,6788
12/1/2020,27323,401,6797
12/2/2020,27776,402,6819
